year,age,race,d,e,m,type
2009,47,o,NA,NA,8.5992105554647,m_smoothed
2009,48,o,NA,NA,8.683333769665028,m_smoothed
2009,49,o,NA,NA,8.701886618679971,m_smoothed
2009,50,o,NA,NA,8.637847558493261,m_smoothed
2009,51,o,NA,NA,8.477133969103521,m_smoothed
2009,52,o,NA,NA,8.212144070197484,m_smoothed
2009,53,o,NA,NA,7.841332104666871,m_smoothed
2009,54,o,NA,NA,7.369037966536694,m_smoothed
2009,55,o,NA,NA,6.805832890923095,m_smoothed
2009,56,o,NA,NA,6.171737640887222,m_smoothed
2009,57,o,NA,NA,5.517234713579723,m_smoothed
2009,58,o,NA,NA,4.893843722457289,m_smoothed
2009,59,o,NA,NA,4.33540042685659,m_smoothed
2009,60,o,NA,NA,3.860954362203997,m_smoothed
2009,61,o,NA,NA,3.4776578290571876,m_smoothed
2009,62,o,NA,NA,3.1697927558534977,m_smoothed
2009,63,o,NA,NA,2.914223226517514,m_smoothed
2009,64,o,NA,NA,2.6935699777509363,m_smoothed
2009,65,o,NA,NA,2.4946681657864334,m_smoothed
2009,66,o,NA,NA,2.3078419313801946,m_smoothed
2009,67,o,NA,NA,2.131651237905129,m_smoothed
2009,68,o,NA,NA,1.9696329893201945,m_smoothed
2009,69,o,NA,NA,1.824277487512371,m_smoothed
2009,70,o,NA,NA,1.6971111244476103,m_smoothed
2009,71,o,NA,NA,1.589083255723767,m_smoothed
2009,72,o,NA,NA,1.5033641788621106,m_smoothed
2009,73,o,NA,NA,1.4454204617594537,m_smoothed
2009,74,o,NA,NA,1.420741614059637,m_smoothed
2009,75,o,NA,NA,1.4361683615235055,m_smoothed
2009,76,o,NA,NA,1.50174854375659,m_smoothed
2009,77,o,NA,NA,1.624640128065959,m_smoothed
2009,78,o,NA,NA,1.8034154808159344,m_smoothed
2009,79,o,NA,NA,2.0357656889709776,m_smoothed
2009,80,o,NA,NA,2.316156419153018,m_smoothed
2009,81,o,NA,NA,2.632306549242994,m_smoothed
2009,82,o,NA,NA,2.9664673519357065,m_smoothed
2009,83,o,NA,NA,3.3007673495598175,m_smoothed
2009,84,o,NA,NA,3.6120453247098077,m_smoothed
2009,85,o,NA,NA,3.872086981214732,m_smoothed
2010,0,o,NA,NA,0.48479850480707704,m_smoothed
2010,1,o,NA,NA,0.28448332433931384,m_smoothed
2010,2,o,NA,NA,0.1691946732110999,m_smoothed
2010,3,o,NA,NA,0.10398117530296971,m_smoothed
2010,4,o,NA,NA,0.06732320108586881,m_smoothed
2010,5,o,NA,NA,0.04680841398048374,m_smoothed
2010,6,o,NA,NA,0.035554755268405576,m_smoothed
2010,7,o,NA,NA,0.02998597384144242,m_smoothed
2010,8,o,NA,NA,0.028537362665892872,m_smoothed
2010,9,o,NA,NA,0.031146786048721245,m_smoothed
2010,10,o,NA,NA,0.03953053080738018,m_smoothed
2010,11,o,NA,NA,0.057475098948421524,m_smoothed
2010,12,o,NA,NA,0.09249655754130796,m_smoothed
2010,13,o,NA,NA,0.1591414184003285,m_smoothed
2010,14,o,NA,NA,0.2827259965939209,m_smoothed
2010,15,o,NA,NA,0.5012010738944485,m_smoothed
2010,16,o,NA,NA,0.8649915086213166,m_smoothed
2010,17,o,NA,NA,1.4298754881584692,m_smoothed
2010,18,o,NA,NA,2.228064342236055,m_smoothed
2010,19,o,NA,NA,3.2207496567947804,m_smoothed
2010,20,o,NA,NA,4.252800971516081,m_smoothed
2010,21,o,NA,NA,5.131210169382405,m_smoothed
2010,22,o,NA,NA,5.761460954071435,m_smoothed
2010,23,o,NA,NA,6.137329663242581,m_smoothed
2010,24,o,NA,NA,6.323044292649117,m_smoothed
2010,25,o,NA,NA,6.422103296865852,m_smoothed
2010,26,o,NA,NA,6.505027864075578,m_smoothed
2010,27,o,NA,NA,6.5733028024166105,m_smoothed
2010,28,o,NA,NA,6.6225924406223,m_smoothed
2010,29,o,NA,NA,6.6485913750346315,m_smoothed
2010,30,o,NA,NA,6.647213080911076,m_smoothed
2010,31,o,NA,NA,6.621715103015486,m_smoothed
2010,32,o,NA,NA,6.589176333795909,m_smoothed
2010,33,o,NA,NA,6.568002395704599,m_smoothed
2010,34,o,NA,NA,6.576408709115509,m_smoothed
2010,35,o,NA,NA,6.632969762437132,m_smoothed
2010,36,o,NA,NA,6.748163037015183,m_smoothed
2010,37,o,NA,NA,6.909282272590009,m_smoothed
2010,38,o,NA,NA,7.099221527268335,m_smoothed
2010,39,o,NA,NA,7.299272006892838,m_smoothed
2010,40,o,NA,NA,7.488589673966886,m_smoothed
2010,41,o,NA,NA,7.65017352471847,m_smoothed
2010,42,o,NA,NA,7.786783776262695,m_smoothed
2010,43,o,NA,NA,7.906351467013263,m_smoothed
2010,44,o,NA,NA,8.017535350741014,m_smoothed
2010,45,o,NA,NA,8.129578153595578,m_smoothed
2010,46,o,NA,NA,8.248346865068733,m_smoothed
2010,47,o,NA,NA,8.36158564620077,m_smoothed
2010,48,o,NA,NA,8.450958629886454,m_smoothed
2010,49,o,NA,NA,8.49750973391804,m_smoothed
2010,50,o,NA,NA,8.482394815029021,m_smoothed
2010,51,o,NA,NA,8.388220617086647,m_smoothed
2010,52,o,NA,NA,8.201561700169144,m_smoothed
2010,53,o,NA,NA,7.9136279259070985,m_smoothed
2010,54,o,NA,NA,7.521147798106851,m_smoothed
2010,55,o,NA,NA,7.027471781466795,m_smoothed
2010,56,o,NA,NA,6.446678831587899,m_smoothed
2010,57,o,NA,NA,5.826196403361957,m_smoothed
2010,58,o,NA,NA,5.218009737546938,m_smoothed
2010,59,o,NA,NA,4.658677775715689,m_smoothed
2010,60,o,NA,NA,4.1708620767716145,m_smoothed
2010,61,o,NA,NA,3.765198570135701,m_smoothed
2010,62,o,NA,NA,3.429213450833697,m_smoothed
2010,63,o,NA,NA,3.142264623404313,m_smoothed
2010,64,o,NA,NA,2.888700312944699,m_smoothed
2010,65,o,NA,NA,2.656706674680165,m_smoothed
2010,66,o,NA,NA,2.437797541997582,m_smoothed
2010,67,o,NA,NA,2.231665258364271,m_smoothed
2010,68,o,NA,NA,2.0426626994078054,m_smoothed
2010,69,o,NA,NA,1.8736695866245645,m_smoothed
2010,70,o,NA,NA,1.7262776765319554,m_smoothed
2010,71,o,NA,NA,1.6012787621461546,m_smoothed
2010,72,o,NA,NA,1.5014448613151974,m_smoothed
2010,73,o,NA,NA,1.4315861155746776,m_smoothed
2010,74,o,NA,NA,1.3964196859783014,m_smoothed
2010,75,o,NA,NA,1.4019405338148598,m_smoothed
2010,76,o,NA,NA,1.4572518813570423,m_smoothed
2010,77,o,NA,NA,1.5682617784335464,m_smoothed
2010,78,o,NA,NA,1.7319312200986297,m_smoothed
2010,79,o,NA,NA,1.944059336440792,m_smoothed
2010,80,o,NA,NA,2.1968167271354053,m_smoothed
2010,81,o,NA,NA,2.4753122690424796,m_smoothed
2010,82,o,NA,NA,2.7606144298200954,m_smoothed
2010,83,o,NA,NA,3.0376449246893387,m_smoothed
2010,84,o,NA,NA,3.288892677622573,m_smoothed
2010,85,o,NA,NA,3.4943772204814327,m_smoothed
2011,0,o,NA,NA,0.48583903658649413,m_smoothed
2011,1,o,NA,NA,0.28545293832195157,m_smoothed
2011,2,o,NA,NA,0.16979278100935494,m_smoothed
2011,3,o,NA,NA,0.10427188346839765,m_smoothed
2011,4,o,NA,NA,0.0674216237525231,m_smoothed
2011,5,o,NA,NA,0.04679724069212852,m_smoothed
2011,6,o,NA,NA,0.035467360410083366,m_smoothed
2011,7,o,NA,NA,0.029819843059357684,m_smoothed
2011,8,o,NA,NA,0.02825697713479807,m_smoothed
2011,9,o,NA,NA,0.030659559168011614,m_smoothed
2011,10,o,NA,NA,0.03861236068514129,m_smoothed
2011,11,o,NA,NA,0.05564824321702933,m_smoothed
2011,12,o,NA,NA,0.0888084571093954,m_smoothed
2011,13,o,NA,NA,0.1518083799770786,m_smoothed
2011,14,o,NA,NA,0.26886638761597265,m_smoothed
2011,15,o,NA,NA,0.4774571496013877,m_smoothed
2011,16,o,NA,NA,0.8295990508213231,m_smoothed
2011,17,o,NA,NA,1.3864200682261316,m_smoothed
2011,18,o,NA,NA,2.1911839973507616,m_smoothed
2011,19,o,NA,NA,3.2202156656912315,m_smoothed
2011,20,o,NA,NA,4.329210133425913,m_smoothed
2011,21,o,NA,NA,5.320400958122369,m_smoothed
2011,22,o,NA,NA,6.080416242915189,m_smoothed
2011,23,o,NA,NA,6.580186443345592,m_smoothed
2011,24,o,NA,NA,6.866283313884672,m_smoothed
2011,25,o,NA,NA,7.033816604835213,m_smoothed
2011,26,o,NA,NA,7.153019224048938,m_smoothed
2011,27,o,NA,NA,7.228787919094612,m_smoothed
2011,28,o,NA,NA,7.2612669377373384,m_smoothed
2011,29,o,NA,NA,7.251422967511164,m_smoothed
2011,30,o,NA,NA,7.201028949257476,m_smoothed
2011,31,o,NA,NA,7.1194087748647945,m_smoothed
2011,32,o,NA,NA,7.029210908913547,m_smoothed
2011,33,o,NA,NA,6.953631188609393,m_smoothed
2011,34,o,NA,NA,6.914938553521761,m_smoothed
2011,35,o,NA,NA,6.935280916116437,m_smoothed
2011,36,o,NA,NA,7.026005477290047,m_smoothed
2011,37,o,NA,NA,7.1687434009493956,m_smoothed
2011,38,o,NA,NA,7.339735186145481,m_smoothed
2011,39,o,NA,NA,7.513343256671476,m_smoothed
2011,40,o,NA,NA,7.661508513397983,m_smoothed
2011,41,o,NA,NA,7.763246388193725,m_smoothed
2011,42,o,NA,NA,7.828647431799347,m_smoothed
2011,43,o,NA,NA,7.875649108433252,m_smoothed
2011,44,o,NA,NA,7.922900756981047,m_smoothed
2011,45,o,NA,NA,7.989549335581383,m_smoothed
2011,46,o,NA,NA,8.089521414459824,m_smoothed
2011,47,o,NA,NA,8.2096004872453,m_smoothed
2011,48,o,NA,NA,8.327690095280904,m_smoothed
2011,49,o,NA,NA,8.420445480495523,m_smoothed
2011,50,o,NA,NA,8.463659949771333,m_smoothed
2011,51,o,NA,NA,8.434155881799509,m_smoothed
2011,52,o,NA,NA,8.315806566919917,m_smoothed
2011,53,o,NA,NA,8.097875631685268,m_smoothed
2011,54,o,NA,NA,7.774396068130516,m_smoothed
2011,55,o,NA,NA,7.345408013993643,m_smoothed
2011,56,o,NA,NA,6.820927885529894,m_smoothed
2011,57,o,NA,NA,6.241830489050544,m_smoothed
2011,58,o,NA,NA,5.655605731270935,m_smoothed
2011,59,o,NA,NA,5.098119203974154,m_smoothed
2011,60,o,NA,NA,4.593773849391778,m_smoothed
2011,61,o,NA,NA,4.156150051961093,m_smoothed
2011,62,o,NA,NA,3.7781464785062626,m_smoothed
2011,63,o,NA,NA,3.4445893421825966,m_smoothed
2011,64,o,NA,NA,3.1437770942365493,m_smoothed
2011,65,o,NA,NA,2.866858166451212,m_smoothed
2011,66,o,NA,NA,2.607570912494637,m_smoothed
2011,67,o,NA,NA,2.3665171625755463,m_smoothed
2011,68,o,NA,NA,2.147898037744397,m_smoothed
2011,69,o,NA,NA,1.9541720312926087,m_smoothed
2011,70,o,NA,NA,1.7863712121195312,m_smoothed
2011,71,o,NA,NA,1.6446694812851357,m_smoothed
2011,72,o,NA,NA,1.531143103296612,m_smoothed
2011,73,o,NA,NA,1.4497935055941085,m_smoothed
2011,74,o,NA,NA,1.4044806038325055,m_smoothed
2011,75,o,NA,NA,1.4002661169138633,m_smoothed
2011,76,o,NA,NA,1.4451324653183193,m_smoothed
2011,77,o,NA,NA,1.5435044322268465,m_smoothed
2011,78,o,NA,NA,1.6905707807820616,m_smoothed
2011,79,o,NA,NA,1.8801491931221848,m_smoothed
2011,80,o,NA,NA,2.1022916506927327,m_smoothed
2011,81,o,NA,NA,2.3402003855756273,m_smoothed
2011,82,o,NA,NA,2.5747832522414678,m_smoothed
2011,83,o,NA,NA,2.794204586923416,m_smoothed
2011,84,o,NA,NA,2.9865147971248436,m_smoothed
2011,85,o,NA,NA,3.1392010558321566,m_smoothed
2012,0,o,NA,NA,0.47309384465075266,m_smoothed
2012,1,o,NA,NA,0.27888604816008056,m_smoothed
2012,2,o,NA,NA,0.1664195644595506,m_smoothed
2012,3,o,NA,NA,0.102508019938015,m_smoothed
2012,4,o,NA,NA,0.06646070566062481,m_smoothed
2012,5,o,NA,NA,0.046235316516852726,m_smoothed
2012,6,o,NA,NA,0.035091701578035595,m_smoothed
2012,7,o,NA,NA,0.02950500777384077,m_smoothed
2012,8,o,NA,NA,0.027904995711337817,m_smoothed
2012,9,o,NA,NA,0.03014375245972063,m_smoothed
2012,10,o,NA,NA,0.037683740334071764,m_smoothed
2012,11,o,NA,NA,0.05381096387856038,m_smoothed
2012,12,o,NA,NA,0.08511025689192926,m_smoothed
2012,13,o,NA,NA,0.14453656467115172,m_smoothed
2012,14,o,NA,NA,0.25547510571925003,m_smoothed
2012,15,o,NA,NA,0.4557570633357177,m_smoothed
2012,16,o,NA,NA,0.8007604628653529,m_smoothed
2012,17,o,NA,NA,1.3596399388296514,m_smoothed
2012,18,o,NA,NA,2.1895070716755716,m_smoothed
2012,19,o,NA,NA,3.2818521258707674,m_smoothed
2012,20,o,NA,NA,4.496065277790602,m_smoothed
2012,21,o,NA,NA,5.619477512051909,m_smoothed
2012,22,o,NA,NA,6.516708935490603,m_smoothed
2012,23,o,NA,NA,7.138226193351584,m_smoothed
2012,24,o,NA,NA,7.51869418984332,m_smoothed
2012,25,o,NA,NA,7.751619651480985,m_smoothed
2012,26,o,NA,NA,7.911010336729226,m_smoothed
2012,27,o,NA,NA,8.005287369187581,m_smoothed
2012,28,o,NA,NA,8.039064146224593,m_smoothed
2012,29,o,NA,NA,8.018548668839076,m_smoothed
2012,30,o,NA,NA,7.95111540203612,m_smoothed
2012,31,o,NA,NA,7.849599374101422,m_smoothed
2012,32,o,NA,NA,7.735948214279293,m_smoothed
2012,33,o,NA,NA,7.632113434230506,m_smoothed
2012,34,o,NA,NA,7.558921826014921,m_smoothed
2012,35,o,NA,NA,7.536605522567893,m_smoothed
2012,36,o,NA,NA,7.574598643733238,m_smoothed
